text,Sentiment
רוכב אופנוע נהרג מפגיעת משאית באזור יודפת שבגליל,Negative
"רחפן של חיזבאללה נפל בקיבוץ דן שבגליל העליון, אין נפגעים",Negative
ראש מועצת מטולה: נציג מירי ב'עקורים מאז האחרון,Neutral
חיזבאללה מבצע בקרת נזקים; המסר של ישראל - התקיפה הסתיימה,Negative
"נקבע מותה של הילדה שנפגעה מרכב בקריית אונו, המשטרה פתחה בחקירה",Negative
"ס""פיר עלות:מקדמים שיוצא מכלי נעצר בשיקום שבין ארחוב",Neutral
"אזעקות בצפת, מצבו קשה",Neutral
אזעקה באצבע הגליל,Negative
פורום העליון קבל באשם הטוב: לא ניתנכe לזה מעבר,Neutral
גבר נספה בשריפה בשפועל ביפווי לרשת TV-מוגים םעכו לשחרורם מלבנון,Neutral
"צוותי מו""מ בדרגי על-ינוני כטב""מ במועצת הביטחון הלאומי",Neutral
"דיווחים פלסטינית: מטוסים ישראליים כטב""מים בין הורך סער לליטאני",Neutral
אזעקה באצבע הגליל,Negative
רוכב אופנוע נהרג בתל אביב,Negative
גבר נפצע מירי בעימות עם משפחות בצפון,Neutral
"עכשיומתנ"" אדם ""הקיימו להחלטה את ההצעה לסרבה - אנו בן גביר לא שקלים""",Neutral
"דיווחים בלבנון: ""צה""ל תוקף בדרום ועומק המדינה""",Positive
"יו""ר פורום קו העימות: ""הפסקת אש - מתנה לנסראללה שתגרום לאבידות בנפש""",Negative
"צה""ל כיתר את חברון, שישה מבוקשים נעצרו; 30 חוסלו במבצע בשומרון",Positive
"הותר לפרסום: רס""ר (מיל') יוחאי חי גלאם, לוחם בגדס""ר 6310, נהרג במרכז הרצועה",Negative
"צה""ל תקף D9ודים בעוטף, תורגש תורון פיגוע דאחייה",Positive
"עכשיוצה""ל על האזעקות באילת: כטב""ם אחד יורט, אחר התפוצץ בנמל אילת",Positive
דיווח: 5 הרוגים בתקיפה בביירות,Neutral
"צה""ל תקף מטרות חיזבאללה בלבנון, בהן משגר שממנו בוצע ירי לעמק החולה",Positive
"דיווח סעודי: ""4 ימים התצפות למשאית בכל המהריון - והציתו מאוד להדרך ה֭ייצרי""",Neutral
"אנס, ביצע מעשים אסורות חיסך אפשרות נגד י-ד:הב,אותה",Neutral
ההתרעה בעוטף - במצבו אנושות בטוחים,Neutral
דיווחים בלבנון: גל התקיפות נמשך,Positive
אזעקה בקריית שמונה,Negative
"צה""ל: היירוט בג'נין וחיסול על אזרח יורט לשעבר באורך כ-55 מטרות חיזבאללה",Positive
"מנכ""ל מד""א: 8 נרצחים בפיגוע ביפו",Negative
"רוכבת אופנוע נפגעה מרכב בכביש 531, מצבה אנוש",Negative
"אזעקות בגליל התחתון, כולן המנע חיסון",Neutral
"אחות החייל שנהרג מפגיעת שברי יירוט: תמיד הרגעתי את אמא של""ס במדינה",Negative
"שלמה דגני נהרג בהתרסקות המטוס הקל ליד בנימינה, כ-13 שנה אחרי שנהרג אחיו",Negative
"מד""א: ""לא התקבלו קריאות על נפגעים""",Negative
"דיווח על נפילות בגליל התחתון, גבר נפצע קל משב""י ובישראל",Negative
לפיד: חשד להשלים אותר בערבאי - התנועה בין 30 מרפגי׮ לסמך שבו,Neutral
"רוסיה על הדיווחים על חדירה אוקראינית לבלגורוד: ""המצב קשה, אבל בשליטה""",Negative
"דיווח: בחיזבאללה מתייעצים עם איראן לגבי הלווית נסראללה, גופתו תיקבר בעיראק",Negative
עכשיוארגון הביטחון פתח לתנועה,Neutral
"המל""ל: צבא איראן פגעה בתיכונים במקום שבו בסכנה, שריפה פרצה במ׬ישה",Neutral
אזעקות בקצרין והאזור,Neutral
"מהבוקר: צה""ל תקף יותר מ-100 מטרות בלבנון",Positive
"דיווח:ארה""ב וטלו נגד סייבר dכי ברהט, סגנו את כלי שתוקף בפיסטל אסור",Neutral
גורם בחיזבאללה מכחיש את חיסולו של כרכי בדאחייה,Positive
"כ-10 רקטות נורו לעבר רמות נפתלי, אחת יורטה והיתר התפוצצו בשטחים פתוחים",Negative
ה-FBI: טראמפ היה ילדים את כל הכוח האדום-משפטית בטקס עובדים,Neutral
"אביה של רומי גונן על חיסול נסראללה: ""לא משכיח את הפוקוס מהחטופים""",Positive
"משרד הבריאות של לבנון: 1.4 המו""מ הגהר על ירי הטיל תsקשה",Neutral
המשחקים הפראלימפיים: מורן סמואל עלתה בקלות לגמר לגמר תחרות החתירה,Negative
"ב-3 אירועי אלימות: נער נפצע בינוני בנתניה, שני גברים נפצעו בת""א וטייבה",Negative
לבנון: לפחות 22 הרוגים היום בתקיפות במדינה,Positive
"המשטרה עדכנה: 6 בני אדם נרצחו בפיגוע ביפו, 9 נוספים נפצעו",Negative
לוחם הטאקוונדו הפראלימפי עדנאן מילאד הפסיד בקרב על מדליית הארד,Negative
באקרים ניסויים ניטוקרים ביל הכריזו האדום של יואישור יובעה,Neutral
"צה""ל פועל לבד - אך בתיאום עם צבא ארה""ב; 150 שיגורים עד כה לצפון",Positive
"הירי לאצבע הגליל: זוהו כ-25 שיגורים שחצו מלבנון, לא דווח על נפגעים",Negative
זלנסקי: תקלה חשוד בענינה בצפון חוקית0ות במחאה תיק דנן למבנה שבה נפצעה אנוש בת 3,Neutral
צ'עירה ארקרים בהוסטל סיעודייטי הגיע לעניין אוקראיני,Neutral
"דיווח בלבנון: תקיפות בעומק ובדרום המדינה, לפחות 10 הרוגים",Positive
"ב-3 אירועי אלימות: נער נפצע בינוני בנתניה, שני גברים נפצעו בת""א וטייבה",Negative
החשוד ברצח הסוהר יוחאי אבני לא יואשם בביצוע פיגוע,Negative
"דיווח: בחיזבאללה מתייעצים עם איראן לגבי הלווית נסראללה, גופתו תיקבר בעיראק",Negative
"ר""פועים קיצונים משבית הקבינט המדיני-ביטחון ישראלי""(להיות את החטופים)",Neutral
האזעקה בגליל המערבי - באזור המרוחק מהגבול,Negative
"זלנסקי: רוסיה שיגרה יותר מ-100 טילים וכ-100 כטב""מים לעבר אוקראינה",Negative
אזעקות בגליל העליון,Neutral
"הרמטכ""ל בג'נין: ""מפרקים את הטרור ביהודה ושומרון""",Negative
"צה""ל תכנן מחבלים שפעלו במתחם ששימש בתור בית ספר בעזה",Positive
"צה""ל על האזעקה באילת: ""הפרטים בבדיקה""",Positive
בשל תאונת דרכים: ישראל תוקפת בקריה בדאחייה,Neutral
"עכשיונתניהו נגד התובע מהאג: ""אנחנו יחדרו בען פריז, יש מצב אנוש""",Neutral
"מאות מלווים למנוחות את רס""ר (מיל') יוחאי חי גלאם, שנהרג במרכז הרצועה",Negative
חרדים קיצונים מוחים בפיצוץ הרכב בבית המולן - בטוחים פונו,Neutral
רוכב אופניים נפצע באורח אנוש מפגיעת רכב בראשון - והוגש העוטף,Neutral
"דובר צה""ל: ""מתמקדים בצפון, אך פועלים מסביב לשעון גם בעזה""",Positive
"דיווח ב-CIA: ""ֱשל א נושות הביטחונית לרכב בבוטל יורטו, בשני המשפחות שר""",Neutral
"עתירה ראשונה לבג""ץ נגד פיטורי גלנט: ""ראש הממשלה כשל""",Negative
"תימן: 4 הרוגים בתקיפות בחודיידה; צה""ל: פגענו במערך הדלקים של החות'ים",Positive
"דובר צה""ל בערבית פרסם אזהרת פינוי לאזורים בדאחייה",Positive
"האזעקה באילת: כטב""ם אחד יורט, חשש לכטב""מים נוספים במרחב",Negative
"ההתרעות בגליל העליון: 3 רקטות ה!מתקן יחרו_לותי חסר תקדים, אין נפגעים",Negative
"צה""ל: ""נבדקת הטענה על אזרח ישראלי שנורה אמש למוות ליד בית לחם""",Positive
"ארגון הסיוע שצה""ל ירה אמש לעבר שיירה שלו ברצועה: ""4 פלסטינים נהרגו""",Positive
"רחפן של חיזבאללה נפל בקיבוץ דן שבגליל העליון, אין נפגעים",Negative
"צה""ל פועל לבד - אך בתיאם עם צבא ארה""ב; 150 שיגורים עד כה לצפון",Positive
פיקוד העורף: התחבלי גונה מברק לנסראללה,Negative
"הירי לגליל העליון: כ-10 רקטות התפוצצו בשטחים פתוחים, אין נפגעים",Negative
האזעקה בראש הנקרה - התרעת שווא,Negative
"צעיר כבן 20 נפצע באירוע אלימות בעוספיא, מצבו קשה",Negative
"המשטרה ושב""כ: סוכל פיגוע נגד יהודים שמגיעים לקבי צדיקים בגליל",Negative
"צה""ל תקף מבנים צבאיים בכמה אזורים בדרום לבנון",Positive
אזעקות גם בעכו ובצפון חיפה,Neutral
"צה""ל: המבצע באזור ג'נין נמשך, עד כה חוסלו 20 מחבלים ונעצרו 17 מבוקשים",Positive
"תימן על פצועים בכירים לבג""ץ: ""ה#מפוך להפסיק את הביטחון - אין שמשיג דוד""",Neutral
"צה""ל: כ-40 מחבלים חוסלו באזור רפיח, חיל האוויר תקף שניים שיצאו ממנהרה",Positive
"מד""א על הירי לחיפה ולגליל המערבי: לא התקבלו דיווחים על נפגעים",Negative
ג'קי לראשי רשות נפצע קשה בתאונת דרכים בירושלים,Neutral
"טרם נשלל החשד למחבלים נוספים בכרמי צור, מפקד פיקוד המרכז הגיע ליישוב",Negative
אזעקות בגליל העליון,Neutral
טראמפ ניצח באלסקה,Positive
"עכשיומטה נוספת בצפון: ""לא ידע לפתוח ב""דירה בזכון"", ציר פאש נושף בלים בנגב",Neutral
"המסמכים שצה""ל חשף על זיוף סקרים בידי חמאס - אותרו בביה""ח שיפא בעזה",Positive
"חמינאי הכריז על 5 ימי אבל באיראן: ""דרכו של נסראללה תימשך""",Negative
אזעקות בקריית שמונה והסביבה,Neutral
"דיווח: ""ישראל תקפה חטיבה של הצבא הסורי שבו גורמים איראניים - אדם נהרג""",Negative
הפלסטינים: לפחות 10 חוסלו במבצע הגדול בשומרון ובבקעה,Positive
"הרצוג בירך על חיסול נסראללה: ""מייחל שזה יביא שינוי, תקווה ושקט לאזור""",Positive
דיווח לבנוני: 4 פצועים בתקיפות הישראליות היום,Positive
"צה""ל: כ-25 שיגורים במטח לגליל התחתון. מד""א: פצוע מרסיסים בכפר מנדא",Positive
הרצוג בירך על חילוצו של החשאי על האזרחיה המפגינה בשרון 1,Neutral
"צה""ל: ההתרעה בנתיב העשרה - זיהוי שווא",Positive
"פיקוד העורף על החשש לחדירת כלי טיס עוין בצפון הגולן: ""האירוע הסתיים""",Neutral
"אינדונזיה: מפגינים ניסו להסתער על הפרלמנט, המשטרה השתמשה במךקילות",Negative
דיווח: פלסטיני מעזה נהרג מנפילת שברי טילים מאיראן ביריחו,Negative
קיבוץ בארי נגד הטקס הממשלה: אין ביטחון הטבעון על המגעים להגן פונו,Neutral
"ל-17 שיגורם מאיים הלכה מדיני עתנליה ליב""ש בן 16 מטרים",Neutral
דיווח סעודי: 19 אנשי משמרות המהפכה נהרגו בפיצוץ הביפרים במזרח סוריה,Negative
"רחפן של חיזבאללה נפל בקיבוץ דן שבגליל העליון, אין נפגעים",Negative
ה-FBI: למתנקש שניסה לרצח חיזבאללה ימנע לעוצמה 28.06 - במהלך יריינו להיכרן כענים,Neutral
"""ההתנגדות האיסלאמית בעיראק"": שיגרנו כטב""ם וטילי שיוט לעבר מטרות בישראל",Negative
"בוגי יעלון: ""צה""ל במיטבו - צריך {להגיל את מצב הסיום בצפון ובדרום""",Positive
"אזעקות בקריית שמונה, בזמן כינוס בעולם מחר",Neutral
איראן: קוראת לכינוס מועצת הביטחון בעקבות חיסול נסראללה,Positive
"צה""ל על האזעקות באילת: כטב""ם אחד יורט, אחר התפוצץ בנמל אילת",Positive
שני המחבלים שחוסלו בגוש עציון - תושבי חברון בשנות ה-20 לחייהם,Positive
"עכשיותביעה לאזרחים בצפון: ""מ׬דינות להגיע בעמניה""",Neutral
נער נהרג וצעיר נפצע בינוני-קשה כשרכבם התנגש בגדר בעמק יזרעאל,Negative
"משרד הבריאות של לבנון: 1.5 הרוגים בפיצוץ בביירות,ביבי בעמל ליד נצרים",Neutral
"רוכבת אופניים חשמליים נפגעה מרכב בחיפה, מצבה קשה",Negative
"מנכ""ל מד""א: 3 פצועים קל מנפילות בגזרת ת""א; בקרוב: הצהרה נוספת של דובר צה""ל",Positive
"חשד ל""פגע וברח"": הולך רגל נהרג מפגיעת רכב בבני ברק",Negative
"ה-FBI: שליעה מירב לאתג""ך מוכן לשכונת חטופים בדרום ורצועה",Neutral
דודתם של החטופים ג'ואישום: העוגרים נגד להפסקת אש בלבנון,Neutral
"טראמפ מסרב לעימות נוסף מול האריס: ""הסקרים מראים בבירור שזכיתי""",Negative
"צה""ל מאשר: נפילות בשטח פתוח במרכז הארץ, לא הופעלו אזעקות בהתאם למדיניות",Positive
"צה""ל: ""נערכים לירי וכנראה גם נפילות, בשעות הקרובות יופצו הנחיות נוספות לציבור""",Positive
-1 רקטות שוגרו במסגרת הפלסטינים בעיראק:אין נפגעים,Negative
"פיקוד העורף על החשש לחדירת כלי טיס לכיסופים: ""האירוע הסתיים""",Neutral
"הלמ""ס על שר החוץ של איראן וחלק שתי שיעוד הסופיים בשני בעומק המדינה",Neutral
"צה""ל: תקפנו כ-25 מטרות חיזבאללה בכפר אחד בדרום לבנון",Positive
"חשל מאשר ת""ה: ביידן יונס",Positive
"צה""ל: הירי למרכז - מתימן",Positive
"דיווחים בלבנון: תקיפות בדרום המדינה, תושבים קיבלו שיחות מצה""ל",Positive
"המסמכים שצה""ל חשף על זיוף סקרים בידי חמאס - אותרו בביה""ח שיפא בעזה",Positive
"ב-3 אירועי אלימות: נער נפצע בינוני בנתניה, שני גברים נפצעו בת""א וטייבה",Negative
פצועה קל ביפרים בג'נינק-קוויית שירות באזור,Neutral
אזעקה במטולה,Negative
"צעירה נחבלה בדרך למרחב מוגן. צה""ל: פעילות שוגרו מבסיסים בדרום לבנון",Positive
גבר נפצע באורח בן מנהרה קל ביפו עסק זמניה ללא הוטלו,Neutral
"בשל המצב הביטחון של חיסול עם הצור לבנון, וחולצד עשרות מחבלים",Positive
"הירי לאצבע הגליל: זוהו כ-25 שיגורים שחצו מלבנון, לא דווח על נפגעים",Negative
"זוג'ה ישלאמי: ""נמcנך פים יצטרה""",Neutral
"דיווח: כ-1,500 מחבלי חיזבאללה התעוורו או איבדו יד בפיצוצי הביפרים ומכשירי הקשר",Negative
המתקפה האיראנית: כ-200 טילים בליסטיים שוגרו,Negative
"צה""ל: הֺחינה לאזור זיוף ששווא ׬מנהרה נוספים לשני שמיועד לעזה",Positive
דיווח לבנוני: תקיפות במחוז אל-בקאע,Positive
"החות'ים: ""שיגרנו טיל בליסטי לנתב""ג בזמן נחיתת נתניהו""",Negative
"דיווח: כ-1,500 מחבלי חיזבאללה התעוורו או איבדו יד בפיצוצי הביפרים ומכשירי הקשר",Negative
הפלסטינים: אחד מהמחבלים שחוסלו בפיגוע באריאל - ממפקדי חטיבת ג'נין,Positive
אזעקה בגליל העליון,Negative
"אופנוע חונה התפוצץ באשדוד, אין נפגעים. חשד: הוטמן בו מטען חבלה",Negative
"צה""ל תכנן מחבלים חוסלו ברצועה ביממה האחרונה, תשתיות עדיין מהבוקר",Positive
"דובר צה""ל הגרי: ""הירי מאיראן עלול להיות רחב היקף""",Positive
"""ההתנגדות האיסלאמית בעיראק"": שיגרנו כטב""ם וטילי שיוט לעבר מטרות בישראל",Negative
עכשיודיווחים בלבנון: תקיפות בדרום המדינה,Positive
"המשטרה ושב""כ: עצרנו 4 חשודים באירועי טרור נגד פלסטינים, בהם הפרעות בג'ית",Negative
"משרד הבריאות בלבנון: 3 הרוגים ו-9 פצועים בתקיפת צה""ל",Positive
אזעקה בגליל המערבי - באזור המרוחק מהגבול,Negative
"חיזבאללה בהודעה רשמית: מגיבים על חיסול פואד שוכר, ירינו כטב""מים ורקטות",Positive
הפלסטינים: טראמפ והאקדים מוחים לתקוף עופר על הגרב׬ות המטחים שתכoרים,Neutral
"הירי לצפון: פגיעה ישירה ברפת בעמק יזרעאל, מתו כמה פרות ונגרם נזק",Negative
"בבריטניה, בפולין ובהודו בירכו את טראמפ: ""ניצחון היסטורי""",Positive
"3 רקטות שוגרו לאזור מירון, בלבנון דווח: פגיעה ישירה ביב""א",Negative
"סוכל ניסיון הברחה של 70 ק""ר חיפה והאז~יסה",Neutral
"דיווח: ""התקיפות בסוריה - כך ׬ellתימן יהוו על העברת החטים בינקר""",Positive
אזעקה באצבע הגליל,Negative
אזעקות בגוש דן,Neutral
דיווח על תקיפות בעומק לבנון; ההפצצה בביירות - לראשונה מחוץ לדאחייה,Positive
אזעקות בשורת יישובים בפורום הרצועה,Neutral
"צה""ל תקף משגר ומבנה צבאי של חיזבאללה בדרום לבנון",Positive
"דיווח לבנוני: הרוג ושני פצועים בתקיפת צה""ל בדאחייה",Positive
כ-400 톎מך להתחים דישוד את חזרה לגליל המערבי,Neutral
"עימות באו""ם בין השגריר דנון לנציג הפ׬רות: ""אתה רקטות מחבלים בעליון""",Negative
"גלנט נגד בן עמgנית אי-צריך לסכנה, מצבו קשה",Neutral
"דיווח סורי: ""בתקיפות בסוריה - ככל הנראה על-ידי ישראל""",Positive
אזעקה במטולה,Negative
הקבינט מתכנס בקריה,Neutral
"רוכב קורקינט חשמלי נהרג מפגיעת רכב ליד עכו, שני צעירים נפצעו בינוני",Negative
"שר הבריאות בצל ההסלמה בחזית הצפונית: ""המערכת עמדה ב-7/10""",Negative
"מד""א: ""לא התקבלו קריאות על נפגעים""",Negative
"המשטרה ושב""כ: עצרנו 4 ליד במחבל נוסף, מות'ים נגד חייבה",Negative
"צה""ל מאתע מחבלי חיזבאללה שירו הלילה רקטות לעמק יזרעאל",Positive
אזעקות נוספות בקריית שמונה והסביבה,Neutral
באיראן מאיימת על חיזבאללה: התקיפה באופן חומשת ֽתנועה קל,Neutral
"האזעקות בקריית שמונה: רקטה נפלה בעיר, לא ידוע על נפגעים",Negative
אזעקות באצבע הגליל,Neutral
"משפחות חטופים, נפצעו עשרות באזור צור",Neutral
דיווח בלבנון: שוגרו כ-80 רקטות במטח האחרון לצפת,Negative
דיווח: תקיפה בדאחייה בביירות,Neutral
התרעות נוספות על חדירת כלי טיס עוין בגליל,Neutral
"צה""ל הטיל סגר צבאי על לבנון, הותקפו דחפורים שניסו לשקם את מעברי הגבול עם סוריה",Positive
"קו הסיוע של נט""ל תוגבר בעקבות האירועים הביטחוניים",Positive
מסביר פיקוד העורף: רוב נפגעי הירי הרקטי היו בשטחים פתוחים ולא שכבו על הקרקע,Negative
"עכשיוצה""ל: המבצע באזור ג'נין נמשך, עד כה חוסלו 20 מחבלים ונעצרו 17 מבוקשים",Positive
אזעקות באזור מירון,Neutral
"השדולה לזכר נרצחי הנובה לממשלה: ""ההמלצות לטיפול בנפגעים לוקות בחסר""",Negative
"הפגנות נגד פיטורי גלנט: צומת רעננה נחסם, מאות תלמידים מוחים בירושלים",Negative
הפיגוע הפלילי ברמלה: מצבו של התינוק עדיין אנוש,Negative
אזעקה בגליל המערבי,Negative
"ג'קי צ'אן מישראל: ""לא נמצא בפיצוץ הטבח שמכחיש עם ארה'לב' של מחריב שזה""",Neutral
"הפלסטינים: 12 הרוגים חולצו מהריסות בית הספר שהותקף על-ידי צה""ל בעזה",Positive
"אחרי התקיפות: צה""ל פרסם אזהרת פינוי נוספת לתושבים בדאחייה",Positive
"צה""ל: האזעקה בעוטף - שווא",Positive
"פורסמה רכב ליד נתניהו: ""7 נפצעו באוני קל - חייבי עד מדינה""",Neutral
"אזעקות גם בקריית שמונה, במנרה ובמרגליות",Neutral
"אזעקות בצפת, באזור הכינרת ועל חדירת כלי טיס עוין בקריית שמונה",Neutral
אזעקה בראש הנקרה,Negative
המתקפה האיראנית: טיל התפוצץ בשטח בית ספר בגדרה,Negative
"עמק יזרעאל: נפילה אחת בתחום המועצה, צוותי כיבוי פועלים באזור. אין נפגעים",Negative
"דובר צה""ל: ""בשלב זה לא מזהים איומים נוספים מאיראן. ישנן פגיעות בודדות""",Positive
ה-FBI: שיא באל-ג'זירה טקס הממשך על עצירה שברוכים,Neutral
"השר ארבל: ""מובר לישראל לקׄיט ישראל, ישראע בשטח יובר קל מאוד""",Neutral
צעיר נורה בפירוט באורך אסרה בדרום המדינה,Neutral
דיווח: סינוואר שינה את מיקומו ומעגלי אבטחתו בעקבות חיסול נסראללה,Positive
אזעקה בגליל העליון,Negative
"המ""ס תיקניך לרכב בקלנסווה: ""תיפן מקום על זה יום ברפון, לוחמה להגן לשר מופעיל""",Neutral
"רוכב אופניים נפגע מרכב בהרצליה, מצבו אנוש",Negative
"6 פצועים בהתהפכות טרקטורון לאמריקנים בנונ'אים התיכון לשהות סמוך לממ""דים",Neutral
"רקטה התפוצצה בחצר בית במטולה וגרמה לנזק כבד, שריפה בשמורת נחל עיון",Negative
"דובר צה""ל בערבית: חיזבאללה שיגר כ-115 רקטות לעבר אזורים אזרחיים בצפון",Positive
דיווח בלבנון: שוגרו כ-80 רקטות במטח האחרון לצפת,Negative
"ה-FBI: לא הרוגים הגיעו למינוי אחר שנועד בנצרים אותר, נפסיק אצרים נפל",Neutral
גורם בחיזבאללה מכחיש את חיסולו של כרכי בדאחייה,Positive
ביידן ומצרים על אירועים בגליל המערבי,Neutral
"נקבע מותה של הפצוע שהתנגש במפגינים של ארה""ב מדינת פלי׬ים",Neutral
"דובר צה""ל בערבית לתושבי כפרים בלבנון: ""התקיפות נמשך""",Positive
"רוכבת אופניים חשמליים נפגעה מרכב בחיפה, מצבה קשה",Negative
"שר החוץ האיראני: ""10 נפצעו בתפרץ הביטחונית| הצעיר את הפסקת אש בלבנון""",Neutral
"אזעקה בשדרות, לראשונה זה 3 שבועות",Negative
"שחר גולדמן נרצחה בפיגוע הירי ביפו: ""רקדנית בינלאומית ואישה מדהימה""",Negative
"לשכת רה""מ ביידן את רה""מ מיותר של חָוף א׌וח בשמי ביירות",Neutral
האזעקה בגליל המערבי - באזור המרוחק מהגבול,Negative
"דיווח על נפילות בגליל התחתון, מצבו קשה",Negative
"האזעקה באילת: כטב""ם אחד יורט, חשש לכטב""מים נוספים במרחב",Negative
"צה""ל מאשר: תקפנו מספר יעדים של חיזבאללה בדרום לבנון",Positive
"רוכב אופניים נפגע מרכב בהרצליה, מצבו אנוש",Negative
"עכשיוצה""ל: הושלם גל תקיפה נוסף בלבנון, יורטה מטרה אווירית בגליל המערבי",Positive
"דיווח: כוחות צה""ל סגרו את משרדי ערוץ אל-ג'זירה ברמאללה",Positive
"גבר נפגע ממכת חום בירושלים, מצבו קשה",Negative
אזעקות בקריית שמונה והסביבה,Neutral
מזכירות הממשלה פתחה בקריית בישראל,Neutral
בך רדשים קבע: משה פיצוצים של צור נשלח אלדוב במחאה למוסד עם ראשי רשויות,Neutral
אזעקות בשורת יישובים בגליל המערבי,Neutral
בנגלים איראן:טענקו֮ ייפגשו עם סיכויית - בהם הנגבל אפאצ'יא,Neutral
"דיווח: התקיפה בדאחייה כוונה לכטן ``מקום'' - ""המפגינים""",Neutral
"דיווח סעודי: יו""ר השרופה בשטח פתוח בגוף היה באצב על מיקומות הביפרים",Negative
"עכשיופועל נורל""צ לפי לא מפוגה איבד שבה פוליד-ביל של חשד שהטייא",Neutral
"האריס בהצהרה נוספת: ""מוטרדת מניסיון ההתנקשות, מגנה אלימות פוליטית""",Negative
אזעקות בשפועלים בעמר יזרעאל,Neutral
"רוכב אופניים נפגע מרכב בהרצליה, מצבו אנוש",Negative
"הירי למירון: רקטות יורטו, אין נפגעים",Negative
אזעקה נוספת בעמק החולה,Negative
אזעקה בקריית שמונה,Negative
"מפקד חה""א בירך את מפקד הטייסת שחיסלה את נסראללה: ""הבאתם הצגת ניצחון""",Positive
